"1-> Luhn, 2-> LSA, 3->Text-Rank",,,#Tweets: 73
,,,
1+2+3,"#CycloneFani: #NarendraModi announces Rs1,000 crore relief package https:\/\/t.co\/1DD6lDZuth.",,
1+2+3,#Odisha's Emergency Helpline number for #CycloneFani +916742534177\nControl room numbers of different districts :- https:\/\/t.co\/x4DwU36Q7I.,,
1+2+3,A powerful #CycloneFani has lashed coastal areas of eastern India with torrential rain and winds gusting up to 200k\u2026 https:\/\/t.co\/CpfoqR65ZF.,,
1+2+3,"Breaking | Three dead in Odisha, storm weakens to 'very severe'\n#CycloneFani Follow LIVE UPDATES\nhttps:\/\/t.co\/uI0XKjeRMH.",,
1+2+3,#WATCH: Visuals of heavy rainfall and strong winds from Balipatna in Khurda after #CycloneFani made a landfall in O\u2026 https:\/\/t.co\/8Qp6HThxDN.,,
1+2+3,"#CycloneFani: 2 dead already, lakhs affected.\nMamta Banerjee: Cancels all rallies for 2 days.\nModi: Says Nation is\u2026 https:\/\/t.co\/ejDiF36E1H.",,
1+2+3,So far @RailMinIndia has canceled a total of 223 #trains to avoid facing any loss due to #CycloneFani | #LIVE\u2026 https:\/\/t.co\/NXiJZfxi8a.,,
1+2+3,#cyclonefani #CycloneFaniUpdates \nWind Speed 225 kmph \nVery very scary...\ud83d\ude23\ud83d\ude1f https:\/\/t.co\/plaNb7SJDS.,,
1+2+3,"#NewsAlert | Cyclone Fani, the strongest storm to hit India since 2014, is weakening after barreling into #Odisha s\u2026 https:\/\/t.co\/RXMJKuutWJ.",,
1+2+3,Cyclone Fani Live Updates: Where Fani is Currently Active; Live Map Video; death toll at 3 \nhttps:\/\/t.co\/RvrFU6WQsq\u2026 https:\/\/t.co\/ScUHXNGXae.,,
1+2+3,Cyclone #Fani makes landfall in eastern India #CycloneFani \n\n@ChennaiRains @vinsonkurian \n\nhttps:\/\/t.co\/UECevVtAcP.,,
1+2+3,"#CycloneFani has made landfall on India's eastern coast as a grade 5 storm, lashing the emptied beaches with rain a\u2026 https:\/\/t.co\/zY3YBQZut3.",,
1+2+3,LIVE | Three people were killed in separate incidents as cyclone Fani battered the Odisha coast Friday.\n\nMore\u2026 https:\/\/t.co\/rjOaLsinQH.,,
1+2+3,"When over a million people in Odisha have to be moved out from their homes to safer shelters, when news of death to\u2026 https:\/\/t.co\/nNF9GSuNnB.",,
1+2+3,#CycloneFani: 13 Navy aircraft are at standby in Visakhapatnam to carry out damage assessment and relief distributi\u2026 https:\/\/t.co\/xeT0ygdXBj.,,
1+2+3,"#CycloneFani | Three killed during cyclone Fani in Odisha, PTI quotes officials \n\nTrack updates here:\u2026 https:\/\/t.co\/ngnjSE9nn3.",,
1+2+3,"PM #Modi said over 91,000 crore had been released in advance for the states affected by #CycloneFani | #LIVE\u2026 https:\/\/t.co\/sxO1LmBIs5.",,
1+2+3,"#CycloneFani #Cuttack We have strong winds from last 4 hrs, 12pm till now it's very very strong with trees uprooted, metal roofs blown away.. A powerful cyclone lashed coastal areas of eastern #India on Friday with torrential rain and winds gusting up to 12\u2026 https:\/\/t.co\/tPi15QqrWW.",,
1+2+3,"After making landfall this morning, cyclone Fani has started weakening and it's likely to enter Bangladesh by tomor\u2026 https:\/\/t.co\/Va1beHo05O.",,
1+2+3,"#CycloneFani: Nearly about 11 lakh people evacuated from 10,000 villages and 52 urban areas are now staying in over\u2026 https:\/\/t.co\/OAQNqP6Lpd.",,
1+2+3,"#FANI is heading to #Bangladesh, Update for that https:\/\/t.co\/pXE75yetxY.",,
1+2+3,"#JustIn | 23 flights to and from the Lokpriya Gopinath Bordoloi International Airport, Guwahati have been cancelled due to #CycloneFani.",,
1+2+3,23 Guwahati airport flights cancelled for cyclone Fani | Indiablooms - First Portal on Digital News Management\u2026 https:\/\/t.co\/rzZWtxqEX9.,,
1+2+3,WATCH: #CycloneFani making landfall in Odisha earlier today https:\/\/t.co\/SIXzoaODKP.,,
1+2+3,"Cyclone Fani kills two in eastern India, a million evacuated\nhttps:\/\/t.co\/ncTbG29KNC #CycloneFani.",,
1+2+3,1000 crore in advance to affected areas as a relief for #CycloneFani.\u2026 https:\/\/t.co\/oNi0lS8Cq7.,,
1+2+3,Wind touching 200kmph\n#CycloneFani #Fani #Bhubaneswar #BeSafe #mothernature #FaniCyclone https:\/\/t.co\/E9CNHn21hk.,,
1+2+3,More than one million people have been evacuated from the Eastern stat\u2026 https:\/\/t.co\/YoivYt5gGk.,,
1+2+3,"cyclone #fani hits India west of Puri, 2 deaths reported so far https:\/\/t.co\/poJHW4CWM7.",,
1+2+3,"Weather Forecast May 4: Cyclone Fani to weaken in depression, heavy rains in Kolkata, WB, Bihar, Jharkhand Assam\u2026 https:\/\/t.co\/kJrkoZL7Ox.",,
1+2+3,"#CycloneFani : Indian Railways permits free transportation of relief material for West Bengal, Odisha and Andra Pra\u2026 https:\/\/t.co\/VaoeboXh57.",,
1+2+3,Cyclone Fani Makes Landfall On India's East Coast\n\n#CycloneFani #Odisha #WestBengal #Fani\n\nhttps:\/\/t.co\/AnKQMLNtiC.,,
1+2+3,"Cyclone #Fani made landfall in NE India, creating major havoc as it gradually weakens from a Cat4 storm.\u2026 https:\/\/t.co\/8zDiDyudaQ.",,
1+2+3,#CycloneFani: All flights have been cancelled in CCU airport from 04:00 hrs on 03\/5\/2019 05:00 hrs on 04\/5\/2019.\u2026 https:\/\/t.co\/AuJHZXfE2d.,,
1+2+3,Cyclonic storm Fani likely to weaken in next 9 hours\n#Cyclonic #storm #Fani #weaken #Odisha #IMD\u2026 https:\/\/t.co\/lj3baGzxxt.,,
1+2+3,#CycloneFani continues to move North-Northeastwards &amp; likely to further weaken into a 'Severe Cyclonic Storm' in ne\u2026 https:\/\/t.co\/BrfSjjTszI.,,
1+2+3,"#CycloneFani | India reportedly plans to evacuate 800,000 people as cyclone Fani approaches eastern coast.\n#news_by\u2026 https:\/\/t.co\/Hd1YCk8KXW.",,
1+2+3,#CycloneFani comes and 200 to 240 km\/h air blow now in #OdishaPrepared4Fani \ud83c\udf0a\ud83c\udf0a\ud83c\udf0a https:\/\/t.co\/aN8iUpLatg.,,
1+2+3,"INDIA: #CycloneFani slams Indian coast, with #Bangladesh in sight | 1.2 million in #Odisha area evacuated |\u2026 https:\/\/t.co\/WlCADqSW4V.",,
1+2+3,#CycloneFani has brought torrential rain and winds of up to 125mph to #India's eastern coastline.\n\n@WVIndia's Disas\u2026 https:\/\/t.co\/ODn5mtPfpx.,,
,,,
1+2,So far 2 deaths reported during #CycloneFani #Fani #FaniUpdates #FaniCyclone.,,
1+2,Today Approximately at 0800hrs Cyclone Fani touched Odisha causing severe Damage and loss of life .,,
1+2,Please contact us for any help in the event of storm.,,
1+2,"Police Control Room Number - 8638389873, for those who have n\u2026 https:\/\/t.co\/FjMfuFTVbU.",,
1+2,Nearly a million have been evacuated due to the \.,,
1+2,Read #India71 Story | @_India71 | #India | \n\n#CycloneFani: 223 trains #cancelled till #Saturday\n\nhttps:\/\/t.co\/QKfnGF1PdM.,,
1+2,#CycloneFani: Bangladesh today evacuated over five lakh people.,,
1+2,"#CycloneFani weakens after 3 deaths, widespread damage in #Odisha \n\nhttps:\/\/t.co\/K12EG4xvsq.",,
1+2,@501Awani @bernamadotcom @BuletinTV3 @malaysianmet Tweet from TweetCaster - @IndiaToday: 160 people injured in Cycl\u2026 https:\/\/t.co\/je4idq888W.,,
1+2,#AIIMSPGExam 2019: Exam for #Bhubaneshwar cancelled after #CycloneFani hits #Odisha\n#AIIMS \nhttps:\/\/t.co\/tmGepuY83G.,,
1+2,"400,000 people on the coast of #Bangladesh have already\u2026 https:\/\/t.co\/2P9lQwLWxQ.",,
1+2,@kampetero @AJENews 1.1 million people were evacuated to 5000 safe shelters.,,
,,,
1+3,"PLEASE RETWEET -\n#Odisha\u2019s emergency helpline number for Cyclone Fani +916742534177, Control room number of differe\u2026 https:\/\/t.co\/joxoX8DPNA.",,
1+3,Three killed during cyclone Fani in Odisha: Officials https:\/\/t.co\/QouZdqJhE9\n#CycloneFanideathtoll #Odisha #CycloneFani #CycloneFaniupdates.,,
1+3,"#CycloneFani LIVE Updates: 3 people killed in #Odisha, say, officials\nRead more: https:\/\/t.co\/4KvJ9i70rp https:\/\/t.co\/LONCximQvZ.",,
1+3,#CycloneFani hits India's east coast; 1.2 million evacuated https:\/\/t.co\/zIk3uxrAtW https:\/\/t.co\/19l7eDo4Qm.,,
1+3,#CycloneFani LIVE Updates: Three Killed During Cyclone Fani In Odisha\n\nCatch LIVE updates here:\u2026 https:\/\/t.co\/5eUbUu9EuB.,,
1+3,Powerful cyclone lashes eastern India with 124 mph gusts https:\/\/t.co\/H9tLqu76Uh via @nbcnews\n#CycloneFani #Cyclone.,,
1+3,Cyclone Fani: Powerful storm slams into eastern India coast https:\/\/t.co\/mcX7rQZJya\n#India #cyclones #CycloneFani\u2026 https:\/\/t.co\/5aTnWlL60a.,,
1+3,160 people injured in Cyclone Fani\n#CycloneFani Updates: https:\/\/t.co\/kKdnueUhIC https:\/\/t.co\/TlEQXwko41.,,
1+3,#CycloneFani: 1 million shifted as India's worst cyclone in 20 years hits today Read: https:\/\/t.co\/Rc3tYy2NmE\u2026 https:\/\/t.co\/JPIBG3COmE.,,
1+3,"More than 28 million people, including 10 million children, vulnerable to #cyclonefani in Odisha.\u2026 https:\/\/t.co\/x4AsTE3iBp.",,
1+3,#CycloneFani | The Union Health Ministry has announced the cancellation of Bhubaneswar as a centre for the #AIIMS P\u2026 https:\/\/t.co\/k2sOD4sjbF.,,
1+3,#BREAKING: #CycloneFani 370 km away from #Kolkata; likely to hit #WestBengal by midnight.\n#FaniCyclone #FaniUpdates https:\/\/t.co\/s0i8ezbj7F.,,
1+3,"#CycloneFani: Odisha CM Naveen Patnaik reviewed situation, Govt evacuated 12 lakh\u00a0people https:\/\/t.co\/H3PliTMoW6 https:\/\/t.co\/1pnYxHLORo.",,
1+3,For May 3\n\nTotal departure cancellations to Bhubaneswar from Delhi - 10\n\nTotal arrival cancellation from Bhubanesw\u2026 https:\/\/t.co\/fXfo6aXueF.,,
,,,
2+3,#CycloneFani: Landfall has started in parts of north east #India.,,
2+3,A powerful #CycloneFani has lashed coastal areas of eastern India with torrential rain and winds gusting up to 200k\u2026 https:\/\/t.co\/C1kOFyEnNJ.,,
2+3,Cyclone Fani makes landfall in eastern India #CycloneFani https:\/\/t.co\/qySZ4rw6sk\nOh it's definitely coming to my side..... @rashtrapatibhvn NEET is going to be held on 5th may.Cyclone Feni has deteriorated the conditions in several state.\u2026 https:\/\/t.co\/Ffgy6dd7mR.,,
2+3,"#CycloneFani: #NarendraModi announces Rs1,000 crore relief package https:\/\/t.co\/EFLdm5AAW1.",,
2+3,"Considering #CycloneFani, 6 NDRF teams of #Ahmedabad leave for Odisha #Gujarat https:\/\/t.co\/ZBkuaoVBVb.",,
2+3,"Three dead as #CycloneFani hits #Odisha , now moving towards #Bengal \nFor More: https:\/\/t.co\/933nA8pCix\nhttps:\/\/t.co\/IkJZhMNZLG.",,
2+3,#CycloneFani has made landfall along the coast of Odisha in eastern #India.,,