"1-> Luhn, 2->LSA, 3-> Text-Rank",,,#Tweets: 46
,,,
1+2+3,"Glimpse of #CycloneFani, the strongest storm to hit Odisha in two decades https:\/\/t.co\/HsLyJkwufQ.",,
1+2+3,#Odisha's Emergency Helpline number for #CycloneFani +916742534177\nControl room numbers of different districts :- https:\/\/t.co\/x4DwU36Q7I.,,
1+2+3,A powerful #CycloneFani has lashed coastal areas of eastern India with torrential rain and winds gusting up to 200k\u2026 https:\/\/t.co\/CpfoqR65ZF.,,
1+2+3,"#CycloneFani has made landfall on India's eastern coast as a grade 5 storm, lashing the emptied beaches with rain a\u2026 https:\/\/t.co\/zY3YBQZut3.",,
1+2+3,LIVE | Three people were killed in separate incidents as cyclone Fani battered the Odisha coast Friday.\n\nMore\u2026 https:\/\/t.co\/rjOaLsinQH.,,
1+2+3,Cyclone Fani makes landfall in eastern India #CycloneFani https:\/\/t.co\/qySZ4rw6sk\nOh it's definitely coming to my side..... @rashtrapatibhvn NEET is going to be held on 5th may.Cyclone Feni has deteriorated the conditions in several state.\u2026 https:\/\/t.co\/Ffgy6dd7mR.,,
1+2+3,"When over a million people in Odisha have to be moved out from their homes to safer shelters, when news of death to\u2026 https:\/\/t.co\/nNF9GSuNnB.",,
1+2+3,Cyclone #Fani made landfall overnight in India's Odisha state as the equivalent of a borderline Category 3\/4 hurric\u2026 https:\/\/t.co\/qpuBmMuEOB.,,
1+2+3,"#CycloneFani | Three killed during cyclone Fani in Odisha, PTI quotes officials \n\nTrack updates here:\u2026 https:\/\/t.co\/ngnjSE9nn3.",,
1+2+3,"Over a million people evacuated in #Orissa, #India preparation for #CyclonicStormFANI Last time around, the cyclone\u2026 https:\/\/t.co\/s7QQMb9KUf.",,
1+2+3,"PM #Modi said over 91,000 crore had been released in advance for the states affected by #CycloneFani | #LIVE\u2026 https:\/\/t.co\/sxO1LmBIs5.",,
1+2+3,"#CycloneFani #Cuttack We have strong winds from last 4 hrs, 12pm till now it's very very strong with trees uprooted, metal roofs blown away.. A powerful cyclone lashed coastal areas of eastern #India on Friday with torrential rain and winds gusting up to 12\u2026 https:\/\/t.co\/tPi15QqrWW.",,
1+2+3,"After making landfall this morning, cyclone Fani has started weakening and it's likely to enter Bangladesh by tomor\u2026 https:\/\/t.co\/Va1beHo05O.",,
1+2+3,"#CycloneFani: Nearly about 11 lakh people evacuated from 10,000 villages and 52 urban areas are now staying in over\u2026 https:\/\/t.co\/OAQNqP6Lpd.",,
1+2+3,Cyclone fani is on the way to Bangladesh.. stay safe everyone.. \n#CycloneFani #bangladesh https:\/\/t.co\/YdzBvof7vz.,,
,,,
1+2,#CycloneFani as seen by #Sentinel3 before making landfall in Odisha \ud83c\uddee\ud83c\uddf3 this morning.,,
1+2,LIVE Watch here \ud83d\udc49https:\/\/t.co\/6Uhn9bAxbz\n#CycloneFani Category 2 Massive Storm 200km\/hr landfall in Eastern INDIA |\u2026 https:\/\/t.co\/41taBdQWgG.,,
1+2,"#CycloneFani: 2 dead already, lakhs affected.\nMamta Banerjee: Cancels all rallies for 2 days.\nModi: Says Nation is\u2026 https:\/\/t.co\/ejDiF36E1H.",,
1+2,"Thats cyclone Fani for you.. ""Over 800,000 are in the process of evacuating as life-threatening Cyclone #Fani is in the Bay of Bengal and is expe\u2026 https:\/\/t.co\/4oSgVf3Lsi.""",,
1+2,Cyclone #Fani had already hit the coast of Puri and will reach Bengal within 2-3 days.,,
1+2,CYCLONE OVER AT 11 AM HOW SUDEN GOTEN WAIT &amp; SEE INDIAN HOW MANY LOSED BY THAT BUT NO GOVTO HELPEOPLE TO GROW AFTER\u2026 https:\/\/t.co\/Dl6wnMfujx.,,
1+2,Extremely severe #cyclonicstormFani with wind speed touching nearly 200 kmph that made landfall earlier on May 3 on\u2026 https:\/\/t.co\/FSPzE4xBvR.,,
1+2,1000 crore in advance to affected areas as a relief for #CycloneFani.\u2026 https:\/\/t.co\/oNi0lS8Cq7.,,
1+2,"Three dead as cyclone '#Fani ' lashes #Odisha; Bhubaneswar, Kolkata airports shut https:\/\/t.co\/kFEKikgJW1.",,
1+2,LIVE | A government of India spokesperson has said at least 160 people have been reportedly injured as #CycloneFani\u2026 https:\/\/t.co\/zc1YVk7dAa.,,
,,,
1+3,"Cyclone Fani Now Weakening, Says IMD\n\nCyclone Fani, the strongest storm to hit India since 2014, is weakening after\u2026 https:\/\/t.co\/tgeew2zcyq.",,
1+3,Three killed during cyclone Fani in Odisha: Officials https:\/\/t.co\/QouZdqJhE9\n#CycloneFanideathtoll #Odisha #CycloneFani #CycloneFaniupdates.,,
1+3,So far @RailMinIndia has canceled a total of 223 #trains to avoid facing any loss due to #CycloneFani | #LIVE\u2026 https:\/\/t.co\/NXiJZfxi8a.,,
1+3,"#NewsAlert | Cyclone Fani, the strongest storm to hit India since 2014, is weakening after barreling into #Odisha s\u2026 https:\/\/t.co\/RXMJKuutWJ.",,
1+3,"#CycloneFani LIVE Updates: 3 people killed in #Odisha, say, officials\nRead more: https:\/\/t.co\/4KvJ9i70rp https:\/\/t.co\/LONCximQvZ.",,
1+3,The state of our team's hotel in #Bhubaneswar #Odisha in the path of #CycloneFani with winds in excess of 175km\/hr.\u2026 https:\/\/t.co\/rgYWcrP7L2.,,
1+3,Three killed as Cyclone Fani batters Odisha \n\n#CycloneFani #Odisha #CyclonicStormFANI #StaySafe #Puri\u2026 https:\/\/t.co\/BuCNEvgwsk.,,
1+3,#CycloneFani hits Odisha today.Prayers for the safety of everyone in the path of #CycloneFani....May God give them strength to endure this\ud83d\ude4f\ud83d\ude4f.,,
1+3,#CycloneFani LIVE Updates: Three Killed During Cyclone Fani In Odisha\n\nCatch LIVE updates here:\u2026 https:\/\/t.co\/5eUbUu9EuB.,,
1+3,Wind movement to words Odisha land fall of cyclone Fani\n#CycloneFani #Cyclone #Odisha https:\/\/t.co\/mABnf0Qn0b.,,
1+3,"Cyclone Fani LIVE Updates: Three killed in Odisha storm | India News, The Indian Express https:\/\/t.co\/FAYwwZ8Pyc vi\u2026 https:\/\/t.co\/TDu5vpw7dB.",,
1+3,"I have heard of 6 fatalities in India from #Fani but compared to 1999 Cyclone that killed 10,000 this storm so far\u2026 https:\/\/t.co\/8iHKGh6CCi.",,
1+3,Powerful cyclone lashes eastern India with 124 mph gusts https:\/\/t.co\/H9tLqu76Uh via @nbcnews\n#CycloneFani #Cyclone.,,
1+3,Three Killed As Cyclone Fani Hits Odisha https:\/\/t.co\/bewAzYPmQY #CycloneFani #CycloneFaniUpdates https:\/\/t.co\/OxRXRquU2c.,,
1+3,Cyclone Fani: Powerful storm slams into eastern India coast https:\/\/t.co\/mcX7rQZJya\n#India #cyclones #CycloneFani\u2026 https:\/\/t.co\/5aTnWlL60a.,,
1+3,#CycloneFani crossed #Bhubaneswar and now everything is silent.. #CycloneFani \ud83c\udf00\n\nUn #cyclone monstrueux au nom de #Fani est actuellement en train de d\u00e9vast\u00e9 l'Inde !,,
1+3,"#CycloneFani made landfall Friday morning on the east coast of India packing wind gusts of 120-plus mph, and is bla\u2026 https:\/\/t.co\/PdYarDWjqN.",,
1+3,"Cyclone #Fani Latest Update: \n\nAs cyclone #Fani makes a landfall in Balasore, currently the wind speed is around 50\u2026 https:\/\/t.co\/XlgEND4VYn.",,
1+3,#CycloneFani: 1 million shifted as India's worst cyclone in 20 years hits today Read: https:\/\/t.co\/Rc3tYy2NmE\u2026 https:\/\/t.co\/JPIBG3COmE.,,
1+3,Cyclonic storm Fani likely to weaken in next 9 hours\n#Cyclonic #storm #Fani #weaken #Odisha #IMD\u2026 https:\/\/t.co\/2R5fyYWGe7.,,
1+3,#CycloneFani | The Union Health Ministry has announced the cancellation of Bhubaneswar as a centre for the #AIIMS P\u2026 https:\/\/t.co\/k2sOD4sjbF.,,
,,,
2+3,LIVE Watch here \ud83d\udc49https:\/\/t.co\/6Uhn9bAxbz\n#CycloneFani Category 2 Massive Storm 200km\/hr landfall in Eastern INDIA |\u2026 https:\/\/t.co\/41taBdQWgG.,,
2+3,Cyclone Fani makes landfall in eastern India #CycloneFani https:\/\/t.co\/DPsUUJqomb.,,
2+3,"Considering #CycloneFani, 6 NDRF teams of #Ahmedabad leave for Odisha #Gujarat https:\/\/t.co\/ZBkuaoVBVb.",,
2+3,Wind touching 200kmph\n#CycloneFani #Fani #Bhubaneswar #BeSafe #mothernature #FaniCyclone https:\/\/t.co\/E9CNHn21hk.,,